sample_id,cluster_label
0,0
1,1
2,3
3,0
4,4
5,4
6,4
7,2
8,1
9,3
10,1
11,2
12,3
13,1
14,2
15,1
16,0
17,3
18,3
19,2
20,2
21,1
22,1
23,4
24,2
25,4
26,2
27,0
28,1
29,4
30,3
31,1
32,3
33,2
34,4
35,3
36,3
37,2
38,1
39,3
40,4
41,2
42,4
43,3
44,3
45,4
46,2
47,2
48,3
49,4
50,2
51,4
52,1
53,4
54,1
55,1
56,0
57,1
58,4
59,2
60,4
61,3
62,0
63,1
64,3
65,1
66,2
67,0
68,2
69,2
70,2
71,1
72,3
73,3
74,1
75,4
76,4
77,3
78,3
79,2
80,4
81,0
82,3
83,1
84,4
85,1
86,3
87,1
88,1
89,3
90,1
91,2
92,1
93,1
94,1
95,2
96,1
97,2
98,0
99,0
100,2
101,1
102,1
103,0
104,1
105,4
106,3
107,1
108,0
109,3
110,4
111,1
112,1
113,0
114,3
115,3
116,4
117,1
118,2
119,1
120,2
121,4
122,1
123,2
124,0
125,2
126,3
127,1
128,1
129,2
130,3
131,1
132,0
133,1
134,4
135,4
136,1
137,0
138,0
139,3
140,1
141,3
142,3
143,1
144,0
145,3
146,1
147,1
148,1
149,0
150,1
151,2
152,1
153,3
154,0
155,2
156,3
157,1
158,1
159,1
160,4
161,3
162,0
163,0
164,4
165,1
166,1
167,2
168,2
169,3
170,1
171,1
172,1
173,2
174,2
175,1
176,1
177,1
178,1
179,0
180,1
181,4
182,2
183,2
184,3
185,4
186,3
187,1
188,4
189,3
190,4
191,1
192,1
193,4
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,3
205,2
206,1
207,4
208,0
209,3
210,2
211,3
212,0
213,0
214,3
215,2
216,1
217,4
218,3
219,4
220,0
221,4
222,3
223,1
224,1
225,3
226,4
227,1
228,4
229,1
230,1
231,2
232,2
233,1
234,2
235,0
236,1
237,1
238,4
239,0
240,4
241,1
242,0
243,3
244,0
245,1
246,4
247,0
248,1
249,4
250,1
251,3
252,1
253,1
254,1
255,3
256,0
257,3
258,2
259,0
260,4
261,0
262,4
263,0
264,3
265,3
266,4
267,3
268,1
269,1
270,1
271,1
272,2
273,0
274,1
275,1
276,0
277,3
278,4
279,0
280,0
281,4
282,1
283,1
284,2
285,0
286,1
287,4
288,2
289,2
290,0
291,3
292,4
293,4
294,3
295,1
296,3
297,4
298,4
299,3
300,1
301,3
302,1
303,3
304,3
305,3
306,3
307,1
308,1
309,1
310,0
311,1
312,3
313,2
314,0
315,4
316,3
317,4
318,1
319,1
320,1
321,1
322,1
323,0
324,0
325,2
326,3
327,0
328,2
329,1
330,2
331,0
332,1
333,1
334,4
335,1
336,1
337,1
338,4
339,4
340,0
341,3
342,1
343,1
344,3
345,2
346,1
347,0
348,2
349,0
350,0
351,0
352,4
353,2
354,1
355,0
356,1
357,3
358,4
359,1
360,3
361,1
362,0
363,0
364,2
365,3
366,1
367,4
368,0
369,0
370,1
371,3
372,0
373,2
374,1
375,3
376,1
377,0
378,1
379,0
380,2
381,1
382,1
383,2
384,4
385,4
386,1
387,4
388,4
389,1
390,0
391,1
392,3
393,1
394,3
395,4
396,4
397,0
398,4
399,1
400,2
401,1
402,1
403,4
404,3
405,3
406,1
407,3
408,0
409,4
410,0
411,1
412,2
413,0
414,3
415,3
416,1
417,3
418,4
419,1
420,1
421,3
422,2
423,3
424,1
425,4
426,1
427,4
428,4
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,4
438,1
439,3
440,1
441,1
442,4
443,3
444,0
445,3
446,1
447,0
448,1
449,1
450,4
451,0
452,3
453,1
454,2
455,1
456,1
457,3
458,2
459,0
460,3
461,2
462,1
463,1
464,4
465,1
466,2
467,1
468,0
469,1
470,1
471,0
472,3
473,1
474,3
475,1
476,2
477,4
478,1
479,1
480,2
481,0
482,4
483,3
484,0
485,1
486,1
487,1
488,2
489,2
490,3
491,0
492,1
493,2
494,4
495,1
496,0
497,1
498,4
499,3
500,4
501,0
502,1
503,1
504,1
505,4
506,0
507,1
508,4
509,3
510,3
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,2
521,4
522,2
523,2
524,1
525,1
526,1
527,2
528,4
529,4
530,1
531,1
532,4
533,2
534,4
535,0
536,2
537,4
538,4
539,2
540,1
541,2
542,3
543,0
544,3
545,3
546,4
547,3
548,4
549,1
550,4
551,3
552,0
553,1
554,4
555,1
556,4
557,1
558,1
559,3
560,0
561,4
562,1
563,2
564,2
565,1
566,1
567,1
568,1
569,2
570,3
571,3
572,1
573,1
574,1
575,2
576,4
577,3
578,2
579,4
580,1
581,1
582,1
583,4
584,3
585,2
586,1
587,0
588,1
589,1
590,4
591,0
592,3
593,3
594,3
595,1
596,1
597,2
598,1
599,0
600,1
601,2
602,1
603,3
604,3
605,4
606,4
607,0
608,0
609,0
610,1
611,1
612,4
613,1
614,0
615,4
616,1
617,0
618,2
619,1
620,0
621,0
622,2
623,0
624,4
625,1
626,1
627,0
628,0
629,2
630,2
631,4
632,2
633,4
634,1
635,1
636,0
637,2
638,1
639,0
640,3
641,3
642,1
643,0
644,1
645,0
646,2
647,1
648,2
649,3
650,3
651,3
652,0
653,1
654,2
655,3
656,4
657,3
658,3
659,4
660,3
661,4
662,3
663,4
664,2
665,2
666,0
667,2
668,1
669,3
670,1
671,4
672,1
673,3
674,1
675,4
676,4
677,1
678,4
679,1
680,1
681,2
682,0
683,1
684,1
685,0
686,1
687,4
688,1
689,1
690,1
691,3
692,1
693,3
694,4
695,1
696,4
697,3
698,3
699,2
700,0
701,4
702,4
703,2
704,1
705,4
706,3
707,1
708,1
709,1
710,1
711,4
712,3
713,3
714,0
715,1
716,3
717,4
718,3
719,4
720,0
721,4
722,2
723,2
724,3
725,1
726,4
727,4
728,4
729,1
730,1
731,0
732,1
733,0
734,3
735,4
736,4
737,3
738,1
739,1
740,3
741,0
742,2
743,2
744,3
745,1
746,1
747,1
748,3
749,1
750,0
751,2
752,1
753,4
754,0
755,3
756,3
757,3
758,0
759,1
760,1
761,1
762,4
763,0
764,2
765,0
766,4
767,1
768,1
769,1
770,0
771,3
772,1
773,0
774,1
775,4
776,1
777,1
778,1
779,1
780,3
781,1
782,3
783,2
784,1
785,1
786,2
787,3
788,2
789,3
790,0
791,0
792,3
793,4
794,1
795,2
796,4
797,1
798,0
799,1
800,2
801,1
802,1
803,3
804,1
805,3
806,0
807,3
808,0
809,3
810,2
811,0
812,1
813,1
814,3
815,1
816,1
817,0
818,1
819,0
820,3
821,1
822,2
823,1
824,4
825,1
826,4
827,1
828,3
829,2
830,2
831,1
832,2
833,1
834,4
835,0
836,1
837,1
838,4
839,0
840,1
841,3
842,1
843,0
844,3
845,4
846,0
847,1
848,1
849,2
850,1
851,1
852,4
853,3
854,4
855,1
856,0
857,3
858,0
859,1
860,3
861,1
862,4
863,1
864,0
865,0
866,3
867,4
868,1
869,1
870,0
871,0
872,4
873,3
874,3
875,0
876,3
877,3
878,3
879,1
880,1
881,1
882,0
883,1
884,4
885,4
886,1
887,1
888,4
889,1
890,4
891,1
892,3
893,1
894,1
895,2
896,1
897,0
898,1
899,0
900,1
901,0
902,1
903,4
904,0
905,1
906,0
907,3
908,1
909,3
910,3
911,3
912,0
913,2
914,3
915,1
916,1
917,1
918,1
919,1
920,2
921,0
922,0
923,1
924,0
925,0
926,4
927,1
928,3
929,1
930,1
931,2
932,1
933,4
934,4
935,2
936,0
937,4
938,4
939,4
940,3
941,4
942,3
943,3
944,0
945,1
946,3
947,0
948,1
949,3
950,4
951,0
952,0
953,3
954,0
955,1
956,3
957,3
958,3
959,0
960,1
961,0
962,1
963,3
964,0
965,0
966,2
967,2
968,4
969,3
970,0
971,1
972,2
973,1
974,3
975,2
976,3
977,1
978,2
979,2
980,1
981,3
982,1
983,0
984,2
985,1
986,1
987,4
988,4
989,0
990,4
991,4
992,0
993,1
994,1
995,2
996,1
997,1
998,4
999,1
1000,1
1001,4
1002,1
1003,4
1004,1
1005,1
1006,1
1007,4
1008,1
1009,2
1010,4
1011,2
1012,3
1013,4
1014,3
1015,4
1016,3
1017,4
1018,3
1019,0
1020,1
1021,1
1022,2
1023,1
1024,2
1025,4
1026,0
1027,2
1028,1
1029,4
1030,2
1031,3
1032,1
1033,4
1034,1
1035,4
1036,0
1037,1
1038,1
1039,2
1040,1
1041,1
1042,1
1043,0
1044,0
1045,4
1046,4
1047,1
1048,2
1049,3
1050,3
1051,4
1052,2
1053,0
1054,3
1055,1
1056,0
1057,1
1058,1
1059,1
